StudentID,Age,Classe,HoursTotal_L1,Genre,Zone,Pretest,Final,Pretest_i,Final_i
111,8.0,T2,60,M,2,5,4,5,4
112,7.0,T2,60,M,2,3,2,3,2
113,7.0,T2,60,M,2,2,1,2,1
114,6.0,T2,60,M,2,5,4,5,4
115,7.0,T2,60,M,2,3,3,3,3
116,8.0,T2,60,M,2,3,3,3,3
117,9.0,T2,60,M,2,5,4,5,4
118,8.0,T2,60,M,2,2,3,2,3
119,8.0,T2,60,M,2,1,1,1,1
120,10.0,T2,60,M,2,3,3,3,3
121,10.0,T2,60,M,2,3,2,3,2
122,11.0,T2,60,M,2,3,3,3,3
123,8.0,T2,60,M,2,4,4,4,4
124,9.0,T2,60,M,2,3,3,3,3
125,7.0,T2,60,M,2,1,1,1,1
126,11.0,T2,60,M,2,2,1,2,1
127,7.0,T2,60,F,2,2,2,2,2
128,8.0,T2,60,F,2,3,3,3,3
129,10.0,T2,60,F,2,4,3,4,3
130,7.0,T2,60,F,2,4,3,4,3
131,7.0,T2,60,F,2,5,3,5,3
132,7.0,T2,60,F,2,2,2,2,2
133,8.0,T2,60,F,2,3,3,3,3
134,6.0,T2,60,F,2,4,1,4,1
135,8.0,T2,60,F,2,3,3,3,3
136,9.0,T2,60,F,2,3,3,3,3
137,9.0,T2,60,F,2,3,3,3,3
138,9.0,T2,60,F,2,5,5,5,5
139,9.0,T2,60,F,2,3,3,3,3
140,9.0,T2,60,F,2,3,3,3,3
141,11.0,T2,60,F,2,3,3,3,3
142,9.0,T3,60,F,2,5,5,5,5
143,12.0,T3,60,F,2,3,3,3,3
144,7.0,T3,60,F,2,5,5,5,5
145,8.0,T3,60,F,2,2,2,2,2
146,9.0,T3,60,F,2,3,3,3,3
147,10.0,T3,60,F,2,5,4,5,4
148,10.0,T3,60,F,2,5,4,5,4
149,8.0,T3,60,F,2,3,3,3,3
150,10.0,T3,60,F,2,2,2,2,2
151,12.0,T3,60,M,2,5,5,5,5
152,10.0,T3,60,M,2,2,1,2,1
153,10.0,T3,60,M,2,5,5,5,5
154,13.0,T3,60,M,2,5,5,5,5
155,11.0,T3,60,M,2,5,5,5,5
156,10.0,T3,60,M,2,5,3,5,3
157,11.0,T3,60,M,2,5,5,5,5
158,12.0,T3,60,M,2,5,5,5,5
159,10.0,T3,60,F,2,5,5,5,5
160,8.0,T3,60,F,2,5,5,5,5
161,,T3,60,F,2,2,2,2,2
162,10.0,T3,60,F,2,3,3,3,3
163,10.0,T3,60,F,2,5,5,5,5
164,7.0,T3,60,F,2,5,5,5,5
165,8.0,T3,60,F,2,5,5,5,5
166,9.0,T3,60,F,2,5,5,5,5
167,7.0,T3,60,F,2,3,3,3,3
168,9.0,T3,60,F,2,5,5,5,5
169,8.0,T3,60,F,2,3,3,3,3
170,9.0,T3,60,F,2,3,3,3,3
171,9.0,T3,60,F,2,3,2,3,2
172,8.0,T3,60,F,2,3,3,3,3
173,10.0,T3,60,F,2,5,5,5,5
174,9.0,T3,60,F,2,5,5,5,5
175,11.0,T5,60,M,2,5,5,5,5
176,13.0,T5,60,M,2,5,5,5,5
177,10.0,T5,60,M,2,5,5,5,5
178,14.0,T5,60,M,2,5,5,5,5
179,12.0,T5,60,M,2,5,5,5,5
180,14.0,T5,60,M,2,5,5,5,5
181,15.0,T5,60,M,2,5,5,5,5
182,13.0,T5,60,M,2,5,5,5,5
183,14.0,T5,60,M,2,5,5,5,5
184,11.0,T5,60,M,2,5,5,5,5
185,12.0,T5,60,M,2,5,5,5,5
186,12.0,T5,60,F,2,5,5,5,5
187,10.0,T5,60,F,2,5,5,5,5
